,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed,Country
85,Port Hardy,50.7,-127.42,51.8,81,75,10.29,CA
86,Qaanaaq,77.48,-69.36,10.99,90,58,3.18,GL
87,Margate,51.38,1.39,46.08,67,100,10.0,GB
88,Filingué,14.35,3.32,89.29,13,73,6.73,NE
89,Harper,4.38,-7.72,79.97,82,98,3.83,LR
90,Santo Tomas,14.11,121.14,88.79,59,40,9.17,PH
91,Itarema,-2.92,-39.92,77.0,87,90,3.44,BR
92,Alice Town,25.72,-79.3,80.92,78,86,20.94,BS
93,Hobart,-42.88,147.33,59.27,41,75,10.29,AU
94,Porto-Novo,6.5,2.6,82.4,83,40,4.7,BJ
95,Cape Town,-33.93,18.42,61.34,82,99,8.05,ZA
96,Dingle,11.0,122.67,88.21,61,77,15.32,PH
97,Kapaa,22.08,-159.32,78.53,69,40,11.41,US
98,Tiksi,71.69,128.87,23.09,94,87,2.53,RU
99,Bambous Virieux,-20.34,57.76,76.05,88,40,12.75,MU
100,Mossamedes,-15.2,12.15,74.59,68,0,7.14,AO
101,Bonfim,3.08,-59.95,84.02,56,89,9.26,BR
102,Rio de Janeiro,-22.9,-43.21,74.39,78,40,6.93,BR
103,Norfolk,42.17,-71.25,45.39,31,1,4.27,US
104,Lorengau,-2.02,147.27,84.87,72,29,5.75,PG
105,Peterhead,57.51,-1.8,37.81,64,0,2.24,GB
106,Quatre Cocos,-20.21,57.76,75.94,88,40,12.75,MU
107,New Glasgow,45.58,-62.65,36.3,82,29,10.0,CA
108,Vao,-22.67,167.48,75.18,66,0,13.49,NC
109,Avarua,-21.21,-159.78,84.2,70,75,9.17,CK
110,Yumen,40.28,97.2,55.8,13,0,8.77,CN
111,Flin Flon,54.77,-101.86,33.21,86,90,4.56,CA
112,Laguna,38.42,-121.42,83.16,19,1,9.17,US
113,Saskylakh,71.92,114.08,25.92,97,100,11.59,RU
114,Lüderitz,-26.65,15.16,73.4,60,92,13.87,NA
115,Tatarsk,55.22,75.98,53.1,46,100,10.49,RU
116,Leopold,-38.18,144.47,63.28,59,40,17.22,AU
117,Haines Junction,60.75,-137.51,37.65,61,100,8.08,CA
118,Altamira,-3.2,-52.21,72.48,93,79,2.17,BR
119,Nanortalik,60.14,-45.24,37.89,77,100,19.55,GL
120,Chumikan,54.72,135.31,33.08,92,100,3.44,RU
121,Yar-Sale,66.83,70.83,23.07,93,100,18.34,RU
122,Khorramabad,33.49,48.36,59.99,49,10,4.85,IR
123,Caravelas,-17.71,-39.25,75.06,78,97,10.51,BR
124,Mar del Plata,-38.0,-57.56,61.97,93,75,6.93,AR
125,Ishinomaki,38.42,141.3,48.2,61,75,4.7,JP
126,Buraidah,26.33,43.98,71.6,53,0,2.24,SA
127,Ust-Maya,60.42,134.53,35.83,73,100,3.11,RU
128,Ust-Nera,64.57,143.2,27.64,80,100,2.62,RU
129,Onalaska,43.88,-91.24,45.61,66,1,6.93,US
130,São Félix do Xingu,-6.64,-51.99,72.77,90,100,0.58,BR
131,Cockburn Town,21.46,-71.14,79.32,82,0,22.46,TC
132,George Town,5.41,100.34,80.11,94,20,5.82,MY
133,Necochea,-38.55,-58.74,62.01,88,100,15.99,AR
134,Correntina,-13.34,-44.64,70.25,78,100,4.34,BR
135,Marsh Harbour,26.54,-77.06,76.44,82,100,22.84,BS
136,Morón,-34.65,-58.62,69.8,93,100,6.93,AR
137,Alghero,40.56,8.32,50.0,100,0,1.12,IT
138,Fare,-16.7,-151.02,81.82,69,37,16.02,PF
139,Castro,-24.79,-50.01,53.15,72,2,4.54,BR
140,Rocha,-34.48,-54.33,63.23,94,81,9.44,UY
141,Pecos,31.42,-103.49,82.4,11,1,11.41,US
142,Smithers,54.78,-127.17,53.6,34,20,9.17,CA
143,Palmaner,13.2,78.75,81.91,51,87,3.11,IN
144,Atuona,-9.8,-139.03,82.09,69,0,13.13,PF
145,Port Alfred,-33.59,26.89,63.0,95,100,1.01,ZA
146,Nikolskoye,59.7,30.79,33.42,80,100,2.24,RU
147,Hermanus,-34.42,19.23,59.0,84,78,9.53,ZA
148,Sokoni,-6.43,39.55,74.55,94,75,5.82,TZ
149,Mahébourg,-20.41,57.7,77.0,88,40,12.75,MU
150,Cherskiy,68.75,161.3,31.98,97,100,6.6,RU
151,Cayenne,4.93,-52.33,80.6,78,93,5.82,GF
152,Chui,-33.7,-53.46,65.21,91,36,11.7,UY
153,Souillac,-20.52,57.52,77.0,88,40,12.75,MU
154,Iqaluit,63.75,-68.51,24.39,73,75,2.24,CA
155,Langfang,39.51,116.69,70.0,13,1,1.01,CN
156,Chimoré,-16.98,-65.13,73.69,79,6,2.01,BO
157,Tara,56.89,74.37,48.31,52,100,10.69,RU
158,Shar,49.59,81.05,71.46,19,100,20.02,KZ
159,Hong Kong,22.29,114.16,65.44,88,40,4.7,HK
160,Saint Lawrence,36.06,14.2,57.36,93,20,1.12,MT
161,Adrar,20.5,-10.07,83.1,14,80,10.16,MR
162,Ribeira Grande,38.52,-28.7,59.74,76,94,6.02,PT
163,Kharp,66.8,65.81,19.35,93,100,9.51,RU
164,Olinda,-8.01,-34.86,82.4,83,40,4.7,BR
165,Vila Franca do Campo,37.72,-25.43,60.8,77,20,2.73,PT
166,Touros,-5.2,-35.46,77.0,94,40,3.36,BR
167,Tura,25.52,90.22,69.84,74,100,1.99,IN
168,Kargasok,59.06,80.86,52.0,46,100,17.13,RU
169,Poum,-20.23,164.02,78.51,74,93,11.34,NC
170,Guiglo,6.55,-7.5,73.54,90,100,2.26,CI
171,Luwuk,-0.95,122.79,86.25,65,76,4.27,ID
172,Kizema,61.11,44.83,23.0,94,97,7.45,RU
173,Payo,-3.75,103.64,87.87,59,100,1.7,ID
174,Sitka,57.05,-135.33,46.4,81,75,6.93,US
175,Daru,-9.08,143.21,83.91,74,4,12.64,PG
176,Mil'kovo,54.72,158.62,40.32,63,100,12.46,RU
177,Thompson,55.74,-97.86,41.0,60,75,3.36,CA
178,Celestún,20.87,-90.4,84.06,74,27,9.69,MX
179,Bandarbeyla,9.49,50.81,82.24,74,13,7.14,SO
180,Palmer,42.16,-72.33,40.75,48,40,5.82,US
181,Codrington,-38.27,141.97,60.42,69,93,14.45,AU
182,Samarai,-10.62,150.67,83.53,70,76,8.25,PG
183,Sørland,67.67,12.69,39.49,84,86,14.74,NO
184,Oranjemund,-28.55,16.43,66.88,80,98,3.87,NA
185,Upernavik,72.79,-56.15,24.8,97,3,7.78,GL
186,Makubetsu,45.37,141.82,44.6,52,20,24.16,JP
187,Sobolevo,54.43,31.9,41.04,83,94,4.79,RU
188,Faya,18.39,42.45,59.88,62,7,1.32,SA
189,Mayo,38.89,-76.51,53.44,93,90,4.7,US
190,Isangel,-19.55,169.27,80.6,78,75,15.48,VU
191,Vallenar,-28.57,-70.76,57.94,57,100,1.97,CL
192,Mount Gambier,-37.83,140.77,60.8,72,90,14.99,AU
193,Ukiah,39.15,-123.21,65.98,33,1,6.93,US
194,Ajdabiya,30.76,20.23,62.83,77,1,17.56,LY
195,Jackson,42.42,-122.83,67.98,32,1,4.7,US
196,Atambua,-9.11,124.89,83.57,59,79,4.21,ID
197,Lashio,22.93,97.75,68.52,64,100,1.01,MM
198,Pangai,-19.8,-174.35,84.2,74,20,5.82,TO
199,Zhanakorgan,43.91,67.25,73.11,36,100,4.97,KZ
200,Kaitangata,-46.28,169.85,57.63,61,91,6.71,NZ
201,Tuatapere,-46.13,167.68,61.0,61,90,8.99,NZ
202,Okha,53.57,142.95,30.52,97,100,18.01,RU
203,Nyangao,-10.33,39.28,69.85,87,77,4.0,TZ
204,Fortuna,40.6,-124.16,55.4,93,90,13.87,US
205,Port Hedland,-20.32,118.57,93.2,59,1,9.17,AU
206,Plettenberg Bay,-34.05,23.37,60.85,80,100,3.13,ZA
207,Lalibela,12.03,39.03,62.62,32,93,2.08,ET
208,Yulara,-25.24,130.99,89.6,21,75,13.87,AU
209,Banda Aceh,5.56,95.32,83.97,70,93,3.11,ID
210,Taksimo,56.34,114.88,40.26,51,6,7.7,RU
211,Longyearbyen,78.22,15.64,14.0,72,0,4.7,SJ
212,Bol,13.46,14.71,84.15,17,75,13.2,TD
213,Fairbanks,64.84,-147.72,43.34,38,90,5.06,US
214,Tual,-5.67,132.75,84.04,76,33,14.7,ID
215,Sola,-13.88,167.55,81.84,83,96,16.62,VU
216,Brae,60.4,-1.35,41.0,100,51,3.36,GB
217,Grand-Santi,4.25,-54.38,72.32,95,100,2.01,GF
218,Barkhan,29.9,69.53,76.26,24,58,5.46,PK
219,Mandalgovi,45.76,106.27,58.32,17,23,17.07,MN
220,Hirara,24.8,125.28,66.94,59,75,13.87,JP
221,Boguchany,58.38,97.45,58.87,42,100,5.35,RU
222,Aransas Pass,27.91,-97.15,77.79,61,1,6.93,US
223,Kudahuvadhoo,2.67,72.89,82.89,71,100,1.03,MV
224,Erenhot,43.65,111.98,58.12,21,0,27.83,CN
225,Mwanza,-2.52,32.9,66.25,65,90,5.61,TZ
226,Omboué,-1.57,9.26,78.28,89,99,4.94,GA
227,Muchkapskiy,51.85,42.47,37.08,79,78,3.42,RU
228,Coahuayana Viejo,18.73,-103.68,72.45,78,60,1.52,MX
229,Corrales,35.24,-106.61,69.89,19,75,23.04,US
230,Srednekolymsk,67.45,153.68,31.01,97,100,2.19,RU
231,Tovste,48.85,25.73,46.0,47,67,3.0,UA
232,Polokwane,-23.9,29.47,53.6,81,0,1.12,ZA
233,San Quintín,30.48,-115.95,68.23,60,0,5.26,MX
234,Wattegama,6.8,81.48,83.05,72,99,3.49,LK
235,Joshīmath,30.57,79.57,58.14,16,1,1.05,IN
236,Ngaoundéré,7.32,13.58,68.23,61,37,3.62,CM
237,Babynino,54.39,35.73,32.0,75,94,3.65,RU
238,Troitsko-Pechorsk,62.71,56.2,22.59,96,100,3.53,RU
239,Marsá Maţrūḩ,31.35,27.25,60.8,82,40,17.22,EG
240,Sakakah,29.97,40.21,66.2,34,0,6.73,SA
241,Solnechnyy,50.72,136.63,34.39,71,100,7.74,RU
242,Yerbogachën,61.28,108.01,42.75,57,1,3.36,RU
243,Baiyin,36.56,104.21,46.4,11,85,2.24,CN
244,Kabalo,-6.05,26.92,67.64,82,93,3.22,CD
245,Inta,66.03,60.17,22.35,96,100,18.3,RU
246,Qeshm,26.96,56.27,73.4,83,0,6.93,IR
247,Tabou,4.42,-7.35,78.78,85,97,3.58,CI
248,Vanavara,60.34,102.28,45.34,61,0,9.84,RU
249,Padang,-0.95,100.35,88.7,55,76,1.16,ID
250,Port Lincoln,-34.73,135.87,66.58,61,21,3.49,AU
251,Villafranca de los Barros,38.56,-6.34,57.99,74,100,8.01,ES
252,Ponta do Sol,32.67,-17.1,57.94,59,40,6.93,PT
253,Vostok,46.49,135.88,33.84,67,100,5.5,RU
254,Zacatepec,18.65,-99.2,91.0,30,69,3.0,MX
255,Shatoy,42.87,45.69,35.6,93,88,2.24,RU
256,Grand Gaube,-20.01,57.66,75.0,87,14,8.99,MU
257,Fort Frances,48.6,-93.4,48.07,46,40,6.93,CA
258,Halifax,44.65,-63.57,37.74,55,5,14.99,CA
259,Beringovskiy,63.05,179.32,21.11,94,6,10.22,RU
260,San Patricio,19.22,-104.7,82.4,78,40,1.77,MX
261,Māngrol,21.12,70.12,83.82,71,8,10.0,IN
262,Muros,42.78,-9.06,49.59,88,37,1.99,ES
263,Poso,-1.4,120.75,89.56,52,87,2.71,ID
264,Praia,14.92,-23.51,71.6,68,40,16.11,CV
265,Ituporanga,-27.41,-49.6,58.93,97,35,8.99,BR
266,Dwārka,22.24,68.97,82.09,78,18,12.33,IN
267,Monrovia,6.3,-10.8,73.4,94,75,7.54,LR
268,Auki,-8.77,160.7,83.17,74,93,6.98,SB
269,Honningsvåg,70.98,25.97,29.77,95,100,28.61,NO
270,Bud,39.45,-86.18,53.55,99,100,8.41,US
271,Mayumba,-3.43,10.66,78.78,87,17,4.25,GA
272,Sortland,68.69,15.42,30.51,87,64,19.46,NO
273,Clyde River,70.47,-68.59,1.4,91,75,4.7,CA
274,Bilma,18.69,12.92,81.21,13,0,5.28,NE
275,Imeni Poliny Osipenko,52.42,136.49,37.36,68,100,18.59,RU
276,Lavrentiya,65.58,-171.0,30.04,94,14,8.59,RU
277,Roald,62.58,6.13,40.71,93,100,4.7,NO
278,Mount Isa,-20.73,139.5,91.4,17,0,11.41,AU
279,Kyzyl-Suu,42.34,78.0,50.97,26,19,3.44,KG
280,Arrondissement de Reims,49.17,4.08,44.6,87,35,1.12,FR
281,Festus,38.22,-90.4,55.11,94,15,2.59,US
282,Warrensburg,38.76,-93.74,61.48,93,20,3.36,US
283,Russell,32.35,-85.2,62.94,93,75,5.82,US
284,Saint-Gédéon,48.5,-71.77,28.4,58,20,4.7,CA
285,Puro,12.48,123.38,87.21,65,84,9.69,PH
286,Jieshi,22.81,115.83,69.04,63,99,11.07,CN
287,Måløy,61.94,5.11,43.66,70,82,17.22,NO
288,Normandin,48.83,-72.53,28.4,58,20,4.7,CA
289,Chambersburg,39.94,-77.66,48.02,93,90,5.82,US
290,Kankaanpää,61.8,22.42,40.55,75,75,9.17,FI
291,Ngunguru,-35.62,174.5,70.43,62,4,15.01,NZ
292,La Asuncion,11.03,-63.86,80.6,78,0,14.99,VE
293,Ketchikan,55.34,-131.65,48.9,81,90,13.87,US
294,Santa Marinella,42.03,11.85,50.0,92,0,5.97,IT
295,Talnakh,69.49,88.4,35.6,93,100,15.66,RU
296,Port Blair,11.67,92.75,84.34,71,100,6.15,IN
297,Bayir,37.27,28.22,53.6,87,75,3.36,TR
298,Lavumisa,-27.31,31.89,68.2,83,83,0.72,SZ
299,Vestmanna,62.16,-7.17,37.4,93,97,2.24,FO
300,Atbasar,51.8,68.33,44.31,71,100,4.99,KZ
301,Ambilobe,-13.2,49.05,73.13,87,89,2.62,MG
302,Dawei,14.08,98.2,91.17,48,84,1.52,MM
303,Anadyr,64.75,177.48,12.2,85,75,8.95,RU
304,Balboa,2.04,-77.22,59.95,69,100,1.01,CO
305,Broome,42.25,-75.83,39.38,69,1,9.17,US
306,Lensk,60.73,114.93,39.2,75,98,4.14,RU
307,Antofagasta,-23.65,-70.4,62.6,77,0,3.36,CL
308,Katsuura,35.13,140.3,57.34,47,40,8.05,JP
309,Dickson,36.08,-87.39,60.49,100,90,5.82,US
310,Esperance,-33.87,121.9,62.6,82,40,8.05,AU
311,Abu Dhabi,24.47,54.37,79.74,61,0,1.12,AE
312,Tessalit,20.2,1.01,79.7,14,3,11.5,ML
313,Timbiquí,2.77,-77.67,77.14,87,99,2.33,CO
314,Kiomboi,-4.27,34.37,57.45,63,96,3.44,TZ
315,Al Bardīyah,31.76,25.09,60.31,82,62,28.86,LY
316,Vardø,70.37,31.11,29.43,96,100,34.58,NO
317,Piaçabuçu,-10.41,-36.43,78.17,86,100,5.68,BR
318,Onomichi,34.42,133.2,50.0,57,75,16.11,JP
319,Wadena,46.44,-95.14,53.6,54,75,4.0,US
320,Verguleasa,44.65,24.32,43.2,60,0,6.93,RO
321,Makakilo City,21.35,-158.09,80.47,61,75,10.29,US
322,Suntar,62.14,117.63,36.14,82,100,4.63,RU
323,Galle,6.04,80.22,84.78,71,65,4.29,LK
324,Kasganj,27.82,78.65,84.42,30,44,6.89,IN
325,Olaine,56.79,23.94,35.6,78,95,2.24,LV
326,Pangnirtung,66.15,-65.71,23.02,89,100,3.67,CA
327,Nemuro,43.32,145.57,46.4,39,40,9.17,JP
328,Banjar,-8.19,114.97,86.0,79,20,10.29,ID
329,Grand-Lahou,5.14,-5.02,80.44,86,98,7.25,CI
330,Zhigansk,66.77,123.37,31.3,98,72,8.34,RU
331,Shillong,25.57,91.88,69.8,100,90,3.36,IN
332,Tauragė,55.25,22.29,39.38,80,67,4.36,LT
333,Shihezi,44.3,86.03,76.95,15,0,6.67,CN
334,Enterprise,36.03,-115.24,84.85,10,75,21.92,US
335,Lubango,-14.92,13.49,55.29,49,0,1.95,AO
336,São Filipe,14.9,-24.5,70.38,75,96,16.08,CV
337,Skvyra,49.73,29.67,44.02,76,48,8.63,UA
338,Paamiut,61.99,-49.67,35.22,86,82,6.08,GL
339,Takoradze,4.88,-1.76,80.04,86,61,5.59,GH
340,Qaqortoq,60.72,-46.03,39.2,83,99,4.7,GL
341,Tombouctou,20.0,-3.0,83.53,14,81,5.88,ML
342,Puerto Escondido,15.85,-97.07,78.37,81,29,5.26,MX
343,Bakurianis Andeziti,41.73,43.47,26.04,59,98,0.38,GE
344,Arlit,18.74,7.39,87.49,11,0,9.1,NE
345,Tazovsky,67.47,78.7,27.39,95,3,15.39,RU
346,Sinop Province,41.77,34.87,34.74,64,0,6.29,TR
347,Pacific Grove,36.62,-121.92,61.74,55,1,11.41,US
348,Atar,20.52,-13.05,65.89,36,0,5.84,MR
349,Mayor Pablo Lagerenza,-19.93,-60.77,75.56,38,0,7.67,PY
350,Marabu,4.41,114.01,80.31,88,75,5.82,MY
351,Saint-Augustin,51.23,-58.65,27.09,95,96,14.83,CA
352,Mareeba,-17.0,145.43,82.22,51,18,19.46,AU
353,Pimentel,-6.84,-79.93,68.92,78,8,10.45,PE
354,Ust-Kuyga,70.02,135.6,26.42,94,98,1.81,RU
355,Gourcy,13.22,-2.35,91.13,28,61,10.85,BF
356,Itaberaba,-12.53,-40.31,69.71,86,63,1.99,BR
357,Guarne,6.28,-75.44,60.21,93,40,2.24,CO
358,Noshiro,40.2,140.02,48.2,56,75,12.75,JP
359,Novyy Rogachik,48.68,44.06,37.2,51,3,20.13,RU
360,Saint George,37.1,-113.58,79.92,15,1,16.11,US
361,Portadown,54.42,-6.44,44.26,80,100,4.7,GB
362,Inhambane,-23.86,35.38,72.59,79,8,10.13,MZ
363,Usinsk,65.99,57.53,22.1,96,99,16.51,RU
364,Baharly,38.44,57.43,62.06,57,28,11.56,TM
365,Acapulco de Juárez,16.86,-99.89,78.8,83,20,6.93,MX
366,Pangody,65.85,74.49,28.08,91,100,14.94,RU
367,Havre-St-Pierre,50.23,-63.6,30.2,80,90,18.34,CA
368,Phang Nga,8.45,98.53,78.8,94,75,3.33,TH
369,Richards Bay,-28.78,32.04,72.16,79,43,4.38,ZA
370,Constitución,-35.33,-72.42,57.42,83,100,18.14,CL
371,Dailly,46.2,7.03,48.97,54,5,1.12,CH
372,Samoylovka,51.18,43.71,36.0,63,74,3.0,RU
373,Murygino,58.74,49.46,26.51,93,100,6.76,RU
374,Termoli,41.99,14.99,45.0,78,0,1.99,IT
375,Bangkalan,-7.05,112.74,87.67,65,99,6.15,ID
376,Praia da Vitória,38.73,-27.07,60.8,87,75,6.85,PT
377,Rafrāf,37.19,10.18,55.42,82,20,3.36,TN
378,Río Gallegos,-51.62,-69.22,41.0,75,40,12.75,AR
379,Ormara,25.21,64.64,80.96,72,26,15.61,PK
380,Klaksvík,62.23,-6.59,37.4,93,100,2.24,FO
381,East London,-33.02,27.91,69.01,83,98,4.0,ZA
382,Eyrarbakki,63.86,-21.15,40.77,75,90,12.75,IS
383,Kununurra,-15.77,128.73,95.0,34,21,5.82,AU
384,Hailar,49.2,119.7,36.43,62,100,19.48,CN
385,Aykhal,66.0,111.5,37.4,55,100,2.24,RU
386,Kushima,31.46,131.23,61.66,41,40,17.22,JP
387,Firminy,45.39,4.29,51.49,93,0,1.12,FR
388,Strezhevoy,60.73,77.59,41.0,75,75,15.66,RU
389,‘Ewa Beach,21.32,-158.01,80.33,54,90,12.75,US
390,Alofi,-19.06,-169.92,86.0,74,75,8.05,NU
391,Ostrovnoy,68.05,39.51,27.55,97,100,22.53,RU
392,Philadelphia,39.95,-75.16,45.14,87,90,9.17,US
393,Khuzdar,27.74,66.64,74.17,19,0,3.58,PK
394,Vaitape,-16.52,-151.75,81.57,70,8,16.15,PF
395,West Wendover,40.74,-114.07,66.2,19,40,24.16,US
396,Broken Hill,-31.95,141.43,68.0,64,0,8.05,AU
397,Homer,59.64,-151.55,45.93,61,90,4.7,US
398,Bucak,37.46,30.59,53.42,61,75,11.41,TR
399,Taltal,-25.4,-70.48,59.34,76,18,2.15,CL
400,Saldanha,-33.01,17.94,64.4,68,100,2.24,ZA
401,Sāyla,22.55,71.47,87.03,45,3,13.89,IN
402,Saint-Joseph,-21.37,55.62,68.65,83,75,4.7,RE
403,Hunterville,-39.93,175.57,66.0,65,21,5.01,NZ
404,Várzea da Palma,-17.6,-44.73,67.17,77,39,2.86,BR
405,Sari,36.56,53.06,53.6,93,90,4.7,IR
406,Pidhorodna,48.11,30.89,46.74,59,98,6.17,UA
407,Seminole,28.71,-81.21,83.26,51,75,10.29,US
408,Inuvik,68.35,-133.72,6.8,55,75,11.41,CA
409,Nakatunguru,-2.12,33.07,67.91,63,56,7.54,TZ
410,Kautokeino,69.01,23.04,13.48,90,8,5.99,NO
411,Dunedin,-45.87,170.5,56.14,66,38,7.16,NZ
412,Kisanga,-7.44,37.7,71.19,87,83,2.44,TZ
413,Chabahar,25.29,60.64,81.88,54,3,11.83,IR
414,Vung Tau,10.35,107.08,88.47,62,67,17.11,VN
415,Kiama,-34.68,150.87,77.74,42,0,5.01,AU
416,Bada,51.39,109.87,50.34,31,15,7.18,RU
417,Redding,40.59,-122.39,78.17,28,1,5.82,US
418,Manitouwadge,49.12,-85.84,27.37,95,8,2.01,CA
419,Crotone,39.09,17.12,53.22,83,47,14.03,IT
420,Avera,33.19,-82.53,62.4,91,90,6.93,US
421,Hopelchén,19.77,-89.85,85.33,48,47,6.08,MX
422,Baruun-Urt,46.68,113.28,48.88,29,61,24.34,MN
423,Aklavik,68.22,-135.01,6.8,55,75,11.41,CA
424,Ankazoabo,-22.28,44.52,66.16,76,0,3.2,MG
425,Meulaboh,4.14,96.13,85.6,66,100,1.81,ID
426,Lukulu,-14.37,23.24,58.21,56,16,5.17,ZM
427,‘Āhuimanu,21.44,-157.84,80.2,61,20,11.41,US
428,Trairi,-3.28,-39.27,78.08,84,91,2.59,BR
429,Palmas Bellas,9.23,-80.09,79.0,34,93,5.03,PA
430,Seoul,37.57,126.98,54.86,39,90,4.7,KR
431,Paso de los Toros,-32.82,-56.52,67.1,82,78,13.27,UY
